strategy,mean_evaluation_return,std_evaluation_return,mean_success_rate,mean_q_error
Constant epsilon-greedy,5.024750000000001,3.4977902647401677,0.825,8.641085772729346
Decaying epsilon-greedy,4.079750000000002,6.046023997682734,0.7550000000000001,9.073076770329498
Softmax,6.4087499999999995,1.1166425681479275,0.8700000000000001,9.295752566678278
UCB,7.1702499999999985,1.5075838146959963,0.9100000000000001,9.408543602827947
